timestamp,count,plastic,organic,glass,paper,metal,temperature,is_holiday,dayofweek,weekofyear,month,dayofyear,is_weekend,temp_bin,7day_avg,7day_std,temp_7day_avg,14day_avg,14day_std,temp_14day_avg,28day_avg,28day_std,temp_28day_avg,90day_avg,90day_std,temp_90day_avg,lag_1,temp_lag_1,lag_2,temp_lag_2,lag_3,temp_lag_3,lag_7,temp_lag_7,trend,rolling_max_14,rolling_min_14
2022-01-01,6,2,1,0,2,1,-7.352319507754463,True,5,52,1,1,1,freezing,6.0,0.0,-7.352319507754463,6.0,0.0,-7.352319507754463,6.0,0.0,-7.352319507754463,6.0,0.0,-7.352319507754463,6.0,-7.352319507754463,6.0,-7.352319507754463,6.0,-7.352319507754463,6.0,-7.352319507754463,0.0,16.0,5.0
2022-01-02,7,6,1,0,0,0,-6.580912273191951,False,6,52,1,2,1,freezing,6.5,0.7071067811865476,-6.966615890473207,6.5,0.7071067811865476,-6.966615890473207,6.5,0.7071067811865476,-6.966615890473207,6.5,0.7071067811865476,-6.966615890473207,6.0,-7.352319507754463,6.0,-7.352319507754463,6.0,-7.352319507754463,6.0,-7.352319507754463,0.16666666666666674,16.0,5.0
2022-01-03,14,5,3,3,1,2,-6.37815700407077,False,0,1,1,3,0,freezing,9.0,4.358898943540674,-6.770462928339062,9.0,4.358898943540674,-6.770462928339062,9.0,4.358898943540674,-6.770462928339062,9.0,4.358898943540674,-6.770462928339062,7.0,-6.580912273191951,6.0,-7.352319507754463,6.0,-7.352319507754463,6.0,-7.352319507754463,1.0,16.0,5.0
2022-01-04,16,7,3,3,3,0,-4.809573786009359,False,1,1,1,4,0,freezing,10.75,4.9916597106239795,-6.280240642756636,10.75,4.9916597106239795,-6.280240642756636,10.75,4.9916597106239795,-6.280240642756636,10.75,4.9916597106239795,-6.280240642756636,14.0,-6.37815700407077,7.0,-6.580912273191951,6.0,-7.352319507754463,6.0,-7.352319507754463,0.1428571428571428,16.0,5.0
2022-01-05,11,3,3,2,2,1,-4.790021910298128,False,2,1,1,5,0,freezing,10.8,4.324349662087931,-5.982196896264934,10.8,4.324349662087931,-5.982196896264934,10.8,4.324349662087931,-5.982196896264934,10.8,4.324349662087931,-5.982196896264934,16.0,-4.809573786009359,14.0,-6.37815700407077,7.0,-6.580912273191951,6.0,-7.352319507754463,-0.3125,16.0,5.0
2022-01-06,10,2,1,1,4,2,-0.394381773586451,False,3,1,1,6,0,freezing,10.666666666666666,3.8815804341359033,-5.05089437581852,10.666666666666666,3.8815804341359033,-5.05089437581852,10.666666666666666,3.8815804341359033,-5.05089437581852,10.666666666666666,3.8815804341359033,-5.05089437581852,11.0,-4.790021910298128,16.0,-4.809573786009359,14.0,-6.37815700407077,6.0,-7.352319507754463,-0.09090909090909094,16.0,5.0
2022-01-07,11,2,4,2,2,1,-6.110606554054375,False,4,1,1,7,0,freezing,10.714285714285714,3.545621041711673,-5.202281829852214,10.714285714285714,3.545621041711673,-5.202281829852214,10.714285714285714,3.545621041711673,-5.202281829852214,10.714285714285714,3.545621041711673,-5.202281829852214,10.0,-0.394381773586451,11.0,-4.790021910298128,16.0,-4.809573786009359,6.0,-7.352319507754463,0.10000000000000009,16.0,5.0
2022-01-08,13,6,4,1,2,0,-8.195210331324759,False,5,1,1,8,1,freezing,11.714285714285714,2.9277002188455987,-5.322694804647971,11.0,3.3806170189140663,-5.576397892536282,11.0,3.3806170189140663,-5.576397892536282,11.0,3.3806170189140663,-5.576397892536282,11.0,-6.110606554054375,10.0,-0.394381773586451,11.0,-4.790021910298128,6.0,-7.352319507754463,0.18181818181818188,16.0,5.0
2022-01-09,10,1,3,2,1,3,-6.084525871480902,False,6,1,1,9,1,freezing,12.142857142857142,2.267786838055362,-5.251782461546392,10.88888888888889,3.1797973380564852,-5.632856556863462,10.88888888888889,3.1797973380564852,-5.632856556863462,10.88888888888889,3.1797973380564852,-5.632856556863462,13.0,-8.195210331324759,11.0,-6.110606554054375,10.0,-0.394381773586451,7.0,-6.580912273191951,-0.23076923076923073,16.0,5.0
2022-01-10,12,6,3,2,1,0,-4.759142762424255,False,0,2,1,10,0,freezing,11.857142857142858,2.115700942049814,-5.020494712739747,11.0,3.018461712712472,-5.5454851774195415,11.0,3.018461712712472,-5.5454851774195415,11.0,3.018461712712472,-5.5454851774195415,10.0,-6.084525871480902,13.0,-8.195210331324759,11.0,-6.110606554054375,14.0,-6.37815700407077,0.19999999999999996,16.0,5.0
