timestamp,count,plastic,organic,glass,paper,metal,dayofweek,weekofyear,month,dayofyear,is_weekend,is_holiday,7day_avg,7day_std,14day_avg,14day_std,28day_avg,28day_std,90day_avg,90day_std,lag_1,lag_2,lag_3,lag_7,trend,rolling_max_14,rolling_min_14
2022-01-01,8,2,4,1,1,0,5,52,1,1,1,1,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,19.0,5.0
2022-01-02,11,6,3,0,2,0,6,52,1,2,1,0,9.5,2.1213203435596424,9.5,2.1213203435596424,9.5,2.1213203435596424,9.5,2.1213203435596424,8.0,8.0,8.0,8.0,0.375,19.0,5.0
2022-01-03,12,5,3,2,2,0,0,1,1,3,0,0,10.333333333333334,2.0816659994661326,10.333333333333334,2.0816659994661326,10.333333333333334,2.0816659994661326,10.333333333333334,2.0816659994661326,11.0,8.0,8.0,8.0,0.09090909090909083,19.0,5.0
2022-01-04,8,4,1,1,2,0,1,1,1,4,0,0,9.75,2.06155281280883,9.75,2.06155281280883,9.75,2.06155281280883,9.75,2.06155281280883,12.0,11.0,8.0,8.0,-0.33333333333333337,19.0,5.0
2022-01-05,9,2,3,1,2,1,2,1,1,5,0,0,9.6,1.8165902124584947,9.6,1.8165902124584947,9.6,1.8165902124584947,9.6,1.8165902124584947,8.0,12.0,11.0,8.0,0.125,19.0,5.0
2022-01-06,11,5,3,1,1,1,3,1,1,6,0,0,9.833333333333334,1.7224014243685084,9.833333333333334,1.7224014243685084,9.833333333333334,1.7224014243685084,9.833333333333334,1.7224014243685084,9.0,8.0,12.0,8.0,0.22222222222222232,19.0,5.0
2022-01-07,15,6,4,1,3,1,4,1,1,7,0,0,10.571428571428571,2.507132682112035,10.571428571428571,2.507132682112035,10.571428571428571,2.507132682112035,10.571428571428571,2.507132682112035,11.0,9.0,8.0,8.0,0.36363636363636354,19.0,5.0
2022-01-08,7,1,4,2,0,0,5,1,1,8,1,0,10.428571428571429,2.6992062325273123,10.125,2.6423744732991308,10.125,2.6423744732991308,10.125,2.6423744732991308,15.0,11.0,9.0,8.0,-0.5333333333333333,19.0,5.0
2022-01-09,11,2,2,5,1,1,6,1,1,9,1,0,10.428571428571429,2.6992062325273123,10.222222222222221,2.488864087178013,10.222222222222221,2.488864087178013,10.222222222222221,2.488864087178013,7.0,15.0,11.0,11.0,0.5714285714285714,19.0,5.0
2022-01-10,7,4,1,2,0,0,0,2,1,10,0,0,9.714285714285714,2.870208222079931,9.9,2.558211180579986,9.9,2.558211180579986,9.9,2.558211180579986,11.0,7.0,15.0,12.0,-0.36363636363636365,19.0,5.0
2022-01-11,16,9,4,2,1,0,1,2,1,11,0,0,10.857142857142858,3.579039509354962,10.454545454545455,3.045115313535314,10.454545454545455,3.045115313535314,10.454545454545455,3.045115313535314,7.0,11.0,7.0,8.0,1.2857142857142856,19.0,5.0
2022-01-12,5,2,1,0,1,1,2,2,1,12,0,0,10.285714285714286,4.191828786034631,10.0,3.302891295379082,10.0,3.302891295379082,10.0,3.302891295379082,16.0,7.0,11.0,9.0,-0.6875,19.0,5.0
2022-01-13,11,4,2,3,1,1,3,2,1,13,0,0,10.285714285714286,4.191828786034631,10.076923076923077,3.1744169664558997,10.076923076923077,3.1744169664558997,10.076923076923077,3.1744169664558997,5.0,16.0,7.0,11.0,1.2000000000000002,19.0,5.0
2022-01-14,19,6,6,3,3,1,4,2,1,14,0,0,10.857142857142858,5.11300861947808,10.714285714285714,3.8715644110631806,10.714285714285714,3.8715644110631806,10.714285714285714,3.8715644110631806,11.0,5.0,16.0,15.0,0.7272727272727273,19.0,5.0
2022-01-15,11,4,3,1,3,0,5,2,1,15,1,0,11.428571428571429,4.825527358301295,10.928571428571429,3.7919811285291076,10.733333333333333,3.7314621160892854,10.733333333333333,3.7314621160892854,19.0,11.0,5.0,7.0,-0.42105263157894735,19.0,5.0
2022-01-16,12,6,3,2,1,0,6,2,1,16,1,0,11.571428571428571,4.825527358301295,11.0,3.8028329520948545,10.8125,3.6188165653060302,10.8125,3.6188165653060302,11.0,19.0,11.0,11.0,0.09090909090909083,19.0,5.0
